It took 1.1185 seconds to compute the Mandelbrot set
It took 0.2712 seconds to dump the image to a file
         1255714 function calls (1235126 primitive calls) in 1.924 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       13    0.000    0.000    0.005    0.000 rcsetup.py:426(validate_font_properties)
       10    0.000    0.000    0.005    0.000 _fontconfig_pattern.py:77(parse_fontconfig_pattern)
      148    0.000    0.000    0.005    0.000 markers.py:299(_set_marker)
        1    0.000    0.000    0.004    0.004 category.py:1(<module>)
       60    0.001    0.000    0.004    0.000 lines.py:301(__init__)
       48    0.000    0.000    0.004    0.000 __init__.py:1406(_add_data_doc)
        1    0.000    0.000    0.004    0.004 helpers.py:1(<module>)
      297    0.001    0.000    0.004    0.000 artist.py:1188(_update_props)
     7512    0.002    0.000    0.004    0.000 enum.py:695(__call__)
       48    0.000    0.000    0.004    0.000 lines.py:1352(update_from)
      482    0.002    0.000    0.004    0.000 enum.py:251(__set_name__)
      265    0.001    0.000    0.004    0.000 overrides.py:144(decorator)
        1    0.000    0.000    0.004    0.004 common.py:8(pyparsing_common)
        1    0.000    0.000    0.004    0.004 _char_codes.py:1(<module>)
       50    0.000    0.000    0.004    0.000 typing.py:580(__getitem__)
      361    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
    38716    0.004    0.000    0.004    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.004    0.004 GifImagePlugin.py:1(<module>)
       19    0.000    0.000    0.004    0.000 rcsetup.py:814(validate_cycler)
        3    0.000    0.000    0.004    0.001 patches.py:2293(__init_subclass__)
        6    0.000    0.000    0.004    0.001 patches.py:2335(pprint_styles)
       13    0.000    0.000    0.004    0.000 __init__.py:2762(__init__)
        1    0.000    0.000    0.004    0.004 texmanager.py:1(<module>)
       22    0.001    0.000    0.004    0.000 typing.py:2998(__new__)
        1    0.000    0.000    0.004    0.004 __init__.py:707(__getattr__)
      234    0.001    0.000    0.004    0.000 typing.py:260(_collect_type_parameters)
      644    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:162(__enter__)
       10    0.000    0.000    0.004    0.000 util.py:371(_inner)
       50    0.000    0.000    0.004    0.000 typing.py:812(Literal)
       64    0.002    0.000    0.004    0.000 {built-in method builtins.eval}
        1    0.000    0.000    0.004    0.004 mathtext.py:1(<module>)
        1    0.000    0.000    0.004    0.004 _methods.py:1(<module>)
  2368/48    0.002    0.000    0.004    0.000 copy.py:119(deepcopy)
      250    0.000    0.000    0.004    0.000 artist.py:1226(_internal_update)
        1    0.000    0.000    0.004    0.004 _parser.py:1(<module>)
        2    0.002    0.001    0.004    0.002 colorizer.py:161(_pass_image_data)
        1    0.000    0.000    0.004    0.004 hashlib.py:1(<module>)
   144/48    0.000    0.000    0.004    0.000 copy.py:218(_deepcopy_dict)
     3321    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:131(_path_join)
        1    0.000    0.000    0.004    0.004 subprocess.py:1(<module>)
       45    0.001    0.000    0.003    0.000 __init__.py:358(namedtuple)
       28    0.001    0.000    0.003    0.000 backend_agg.py:248(_prepare_font)
        1    0.000    0.000    0.003    0.003 artist.py:1(<module>)
     1145    0.001    0.000    0.003    0.000 copy.py:62(copy)
      465    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:164(_path_isfile)
      187    0.000    0.000    0.003    0.000 artist.py:146(<lambda>)
        1    0.000    0.000    0.003    0.003 _array_like.py:1(<module>)
      630    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:513(cache_from_source)
       47    0.000    0.000    0.003    0.000 text.py:104(__init__)
      187    0.000    0.000    0.003    0.000 artist.py:1237(set)
